PRODUCT_CATEGORY,REVIEW_TEXT,SAMPLE_TYPE
Automotive,"Fits well on my Subaru Crosstrek.  My only gripe is that it's hard to find a place in the back seat, so I don't have much room for it. I've owned several Crosstrek sedans before and this one has been great.",GUIDED
Electronics,"If you are looking for a sound system that is easy to set up, this may not be the case.  You will need an external power supply or something like that. I have tried other similar products and they seem to work just fine.",NON-GUIDED
Health & Personal Care,"This set is great for those looking to get a lot out of the box.  It doesn't have all the bells and whistles, but it's still very functional.",GUIDED
Outdoors,"Generally speaking, this product is made in the USA.  It has a lot of features that make it easy to open and close doors without damaging your safety. There are many different types of door locks for each type of door lock.  For example: 1) The key chain on the inside of the box can be opened with either one or two small keys (or both).  This allows you to easily access the outside of the box by simply holding down the &#34;fingerprint&#34; button while opening/close. 2) You can also use the “slip-down” switch which opens the door slightly above the top of the box if you don't want to do so.  In other words, there is no locking feature at all.",NON-GUIDED
Toys,I do not want to waste my money on this product.  I am happy with the quality of the packaging and delivery.,GUIDED
Books,Arrived when it was time to write a book. I do not recommend this product.  I am very disappointed in the quality of the books and their content.,GUIDED
Outdoors,"Got this for my son and he loves it.  It is easy to put together, folds up easily with no effort at all.  The only thing I don't like about the handle is that you have to be careful not to screw in your key chain when opening or closing.",NON-GUIDED
Shoes,I knew I would order these shoes but they were too small for me.,GUIDED
Furniture,"The frame is strong and easy to assemble.  The only thing I would have liked was that there were a few small holes in the back of the frame, but they didn't make it into the box.",GUIDED
PC,Attended my daughter for a very long time and she loves it.  She is 5'9&#34; and weighs 250 pounds.,NON-GUIDED
Books,"I went to Amazon and found this book.  It is a must read for anyone interested in learning more about the history of Ireland, as well as other Irish history books.",GUIDED
Video Games,this is a great video game.  The graphics are nice and the story is very interesting.  I highly recommend this to anyone who enjoys fighting games.,GUIDED
Tools,"At first I thought this would be a bit of a novelty, but after reading the reviews it turned out to be.  It is well made and easy to use. The only thing that annoys me is how long it takes to set up an internet connection.  You just have to hook up your router in order to do so.  If you don't want to go through all those hoops then there are no instructions on how to set up an internet connection... I've tried several different types of internet connections before: 1) Internet Explorer 8 (version 9), Chrome OS 7 (version 10), Netgear T-Mobile Uverse (version 11), Verizon FiOS 4G LTE (version 12).  The Opera browser has some great features such as support for downloading videos from Netflix or other video services without having to worry about re-downloading them.",NON-GUIDED
Pet Products,I was very pleased with this product.  I would recommend it to anyone looking for a good quality dog food.,GUIDED
